상호,제품군,대분류,질의 내용,답변,답변퀄리티
닥터자르트,화장품,배송,배송준비전이라 취소가안되는데취소해주세요," 12월 19일 자정에 주문해주신 상품은금일 오전 8시에 주문 수집되어 현재 출고작업이 모두 완료되어 취소가 어려운 것으로 확인되었습니다.만족스러운 도움 드리지 못하여 죄송합니다 고객님. 상품 구매를 원치 않으실 경우 향후 반품신청 부탁드리며,이 경우 왕복배송비가 발생되는 점 참고 부탁드리겠습니다.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,"핸드크림 올리브영이나 쿠팡 마트에서도 거의
닥터자르트꺼만 사서 가족들 다같이 꾸준히 20통은 넘게 쓰던 제품인데, 1+1으로 스마트스토어에 산거에선 바르고나면 꼬릿꼬릿한 냄새(젖은 걸레 방치해뒀을 때 냄새....)가 나요 손 씼어내야 없어지네요 여태 한번도 이런 적 없었는데 성분이 뭔가 달라진건가요? 냄새나서 못바르겠어요ㅠ"," 문의하신 ""세라마이딘 핸드크림""은 은은한 시트러스 향을 느낄 수 있었지만,향에 특별히 예민하신 고객님들도 걱정없이 사용하실 수 있도록향과 관련된 성분의 함량을 최소화하여 원료 고유의 향을 느끼실 수 있습니다.개인의 기호, 생산 편차, 제품을 보관하는 온도 등다양한 요소에 의해 느껴지는 향의 정도가 다르게 느껴질 수 있으며,이는 인공 향료를 사용하지 않아 자연스럽게 발생하는 원료 고유의 향에 의해 발생하는 차이입니다.향 이외의 제품의 성분은 동일하여 촉촉하지만 끈적임 없이 부드럽게 밀착되어 만족스러운 사용감을 느끼실 수 있습니다.안심하시고 이용 부탁드립니다 고객님.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,"안녕하세요! 
1) 이 제품이랑 선크림 혼용 가능한가요?
가능하다면 닥터자르트에서 권장하는 바르는 순서 알려주세요!!
2) 필요시 하루에 여러번 덧대어 발라도 괜찮을까요?
감사합니다~~~!"," 시카페어 타이거 그래스 컬러 코렉팅 트리트먼트는 SPF 22, PA++으로, 자외선 차단과 자연스러운 커버가 가능하여 가벼운 외출 시 단독 사용이 가능합니다.장시간 외출 또는 강력한 자외선 차단이 필요할 경우에는 선케어 제품을 먼저 바른 뒤, 시카페어 타이거 그래스 컬러 코렉팅 트리트먼트를 고르게 펴발라 이용하시길 권장드립니다. 또한, 자외선 차단기능과  피부 톤을 보정해주는 톤보정 기능을 겸비한 제품으로일상생활 중 여러번 덧발라 이용이 가능한 제품입니다.  앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,"기존의 세라마이딘 크림에서 바뀐게 이제품이라고 하는거 같던데 맞나요? 보습감은요? 예전께 좋아서 일부러 세라마이딘 크림 찾는 사람도 있어서 다시  여쭤봅니다.
그리고 울트라모이스처크림? 그건또 뭔가요?"," 세라마이딘 스킨 베리어 모이스처라이징 크림에 대한 관심 감사드립니다.기존 '세라마이딘 크림'이 ""스킨 베리어 모이스처라이징 크림""으로 리뉴얼 되어 운영되고 있습니다.""스킨 베리어 모이스처라이징 크림""은 보습과 탄력 케어가 동시에 가능한 장벽강화 크림으로,기존 '세라마이딘 크림' 대비 2배 늘어난 '5-세라 콤플렉스'에 판테놀 성분이 더해져 피부에 뛰어난 보습효과와 탄력을 동시에 케어해주며, 약해진 피부 장벽을 더욱 촉촉하고 탄탄하게 가꿔주는 #탄탄보습 크림입니다.기존 '세라마이딘 크림'은 크리미한 버터 제형으로 매끄러운 마무리감을 선보였다면, ""스킨 베리어 모이스처라이징 크림""은 폭신하면서도 빠르게 흡수되는 크림 제형으로끈적임없이 촉촉하게 마무리되어 부담없이 사용하기 좋은 제품입니다.보습과 탄력 관리가 동시에 필요한 피부, 흡수가 빠르고 잔여감이 남지않는 보습 크림을 원하신다면, ""스킨 베리어 모이스처라이징 크림""으로 마르지 않는 탄탄 보습 케어를 시작해보세요.감사합니다.",긍정
닥터자르트,화장품,행사,현재 사은품 구성 어떻게 되나요?,"시카페어 인텐시브 수딩 리페어 크림에 대한 관심 감사드립니다.현재 네이버 공식 스토어에서 해당 제품을 구매하시면,아래 사은품을 증정해드리고 있습니다.시카페어 인텐시브 수딩 리페어 크림 7ml 2개시카페어 인텐시브 수딩 리페어 세럼 7ml 1개많은 관심과 이용 부탁 드립니다. 😊감사합니다.",긍정
닥터자르트,화장품,의견,바이옴 에센스를 잘써왔는데 리뉴얼 되면서 흡수가 잘 안되고 끈적임이 심해졌어요 이전 버전도 판매해주시면 안되나요..?," 바이탈 하이드라 솔루션 바이옴 트리트먼트 에센스를 만족스럽게 이용해주셔서 감사드리며,리뉴얼 된 제품이 만족스럽지 못하신 것 같아 아쉽습니다.기존 바이옴 트리트먼트 에센스는 재생산 및 재판매 계획은 없지만,다시 구매를 원하신다는 고객님의 의견은 유관부서로 전달하여 제품 운영에 참고하겠습니다.산뜻하게 흡수되는 제품을 찾으신다면 '세라마이딘 스킨 베리어 세럼 토너'를 이용해보시면 어떠실까요?풍부한 보습력을 담은 고농축 제품이지만 풍부한 수분감이 느껴지는 리퀴드 제형으로,부드러운 세럼의 보습력과 빠르게 흡수되는 토너의 흡수력을 모두 가지고 있어 피부에 품부한 수분감과 보습감을 주며 빠르게 흡수됩니다.바로가기 > https://brand.naver.com/drjart/products/7464524671앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,바디용으로 사용해도 도나요?," 세라마이딘 크림 미스트에 대한 관심 감사드립니다.문의주신 제품은 페이셜(얼굴) 전용 제품이지만,바디에도 사용하실 수 있습니다.😊안심하시고 이용 부탁드립니다.감사합니다.",긍정
닥터자르트,화장품,제품관련,글보니까 근래에 리뉴얼됐다는거 같네요. 언제됐나요?? 그리고 리쥬비네이팅 실버비비로 팩트는 안나오나요.. 십년간 비비짜서 쓰기힘드네요 ㅋㅋㅋ,"""더메이크업 리쥬비네이팅 뷰티밤""에 대한 지속적인 관심과 이용에 감사드립니다.해당 제품은 리뉴얼 된 것은 아니지만,10월 초 입고 된 제품부터 자외선 차단 지수(SPF)가 ""35"" → ""40""으로 변경되었습니다.모든 국가에 범용적으로 표기할 수 있도록 글로벌 스탠다드에 맞춰 변경되었으며,성분의 변화는 없어 동일한 포뮬러와 사용감으로 이용 가능한 점 참고 부탁드립니다.또한, 아쉽게도 쿠션 팩트로의 출시 계획은 없지만,고객님의 소중한 의견은 유관부서로 전달하여 제품 운영에 참고하겠습니다 😊오늘도 건강하고 행복한 하루 보내시기 바랍니다.감사합니다.",긍정
닥터자르트,화장품,제품관련,"안녕하세요
사용기한 문의 드립니다.","세라마이딘 엑토인 인퓨즈드 크림에 대한 관심 감사드립니다.닥터자르트에서는 별도의 유통기한을 표기하여 안내해드리지 않는 경우,24개월 이내 제조되어 최소 사용기한 12개월 이상 남은 넉넉한 제품으로 발송해드리고 있습니다.닥터자르트 물류센터에서 화장품 보관에 최적화 된 환경으로 관리하여제조 당시의 품질 그대로 사용하실 수 있는 제품이오니 안심하시고 이용해주시기 바랍니다.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다.감사합니다.",긍정
닥터자르트,화장품,제품관련,크기가 어느정도인가요???, [바이탈 하이드라 솔루션 바이옴 워터 크림 15ml]에 대한 관심에 감사드립니다.문의하신 제품은 단상자 기준 가로 5.5cm x 세로 5cm x 높이 4cm 입니다.이용 시 참고 부탁드립니다. 😊앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.,긍정
닥터자르트,화장품,행사,수량은 1개지만 제품은 두개 오는거 맞나요?," 포어레미디 스무딩 프라이머 15ml 2개는 말씀하신 것과 같이 2개 묶음 상품으로,옵션 1개를 구매하시면 본품 2개를 받아보실 수 있습니다.😊많은 관심과 이용 부탁 드립니다!감사합니다.",긍정
닥터자르트,화장품,제품관련,사용기한이 언제까지인가요?, 시카페어 카밍 세럼 마스크에 대한 관심 감사드립니다.지금 닥터자르트 네이버 공식 스토어에서 해당 제품을 구매하시면2026년 5월까지 사용 가능한 제품으로 출고됩니다.구매에 참고 부탁드립니다.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.,긍정
닥터자르트,화장품,행사,핸드크림 1+1은 어떤 제품 주시는 건가요?,"문의하신 '시카페어 카밍 세럼 마스크'를 구매하시면5매입 제품 2개 받아보실 수 있으며, 핸드크림은 증정되지 않습니다.혹시 추천상품으로 핸드크림 1+1을 보신 것은 아니실까요?핸드크림 1+1은 별도 판매중인 상품이오니, 이용에 참고 부탁드리겠습니다.https://brand.naver.com/drjart/products/5209857465앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다.감사합니다.",긍정
닥터자르트,화장품,행사,핸드크림 1+1 적혀있어서 구매한건데 핸드크림은 안주시나요?? ㅠㅠ," 문의하신 '더마클리어 마이크로 워터 250m+150mL 클렌징워터'는클렌징 워터 본품과 리필이 구성된 기획세트이며핸드크림은 증정되지 않습니다.혹시 추천상품으로 핸드크림 1+1을 보신 것은 아니실까요?핸드크림 1+1은 별도 판매중인 상품이오니, 이용에 참고 부탁드리겠습니다.https://brand.naver.com/drjart/products/5209857465앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,선크림 제품 중 |시카페어 카밍 선 프로텍터| 이 제품은 이제 만날 수 없나요?," ""시카페어 카밍 선 프로텍터"" 제품에 대한 관심 감사드립니다.문의주신 상품은 아쉽게도 현재 단종되어 구매가 어려운 상품입니다.해당 제품을 만족스럽게 이용하셨다면, ""에브리 선 데이 톤업 선 플루이드"" 제품을 추천 드립니다.https://brand.naver.com/drjart/products/5569130647부드러운 플루이드 제형으로 피부에 얇게 밀착되면서 가볍게 사용할 수 있으며, 사용 시 칙칙한 피부에 자연스럽게 핑크 빛이 맴돌아 만족도가 높은 톤업 선 케어 제품입니다.다만, 기존에 사용하셨던 제품과 제형 및 톤업 색상은 다소 차이가 있을 수 있으니,가까운 올리브영에 방문하셔서 테스트 후 구매해보실 것을 추천 드립니다.만족스럽게 이용하신 제품의 단종 소식을 전해드려 아쉽지만, 추천드린 에브리 선 데이 톤업 선플루이드도 많은 관심 부탁드립니다.^^감사합니다.",긍정
닥터자르트,화장품,제품관련,안녕하세요  이 제품 리뉴얼 전 제품으로 구매하고 싶은데  혹시 리뉴얼 전 제품일까요 ??," [바이탈 하이드라 솔루션 바이옴 워터 크림 15ml 3개]는 리뉴얼 이전의 제품이 맞습니다.^^사용기한 2024년 12월 28 까지인 제품이오니, 구매에 참고 부탁드립니다!앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,공식홈페이지에는 바디버터가 없던데 단종되나요?," 세라마이딘 바디 버터에 대한 관심 감사드립니다 고객님.해당 제품은 현재 네이버 공식 스토어에서 구매 가능하시며,준비된 재고 소진 시 단종 예정인 상품입니다.구매에 참고 부탁드립니다.감사합니다.",긍정
닥터자르트,화장품,제품관련,기존 세라마이딘 립페어랑 달라진 점이 무엇인가요?," 닥터자르트 세라마이딘 립밤에 대한 관심 감사드립니다.세라마이딘 립밤은 기존 세라마이딘 립페어 대비 증가된 ""세라마이드 NP"" 성분과영양감이 느껴지는 멜팅 젤 제형으로 변화하여1회 사용만으로도 건조하고 거칠어진 입술을 즉각적으로 촉촉하게 케어해주는보습 레벨 UP #촉촉보습 립밤으로 리뉴얼 되었습니다.새로워진 '세라마이딘 립밤'에도 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,배송,상품이 왔는데  크림을 덜어내는 스푼(?)걑은게 안왔어요 확인부탁드려요," 세라마이딘 엑토인 인퓨즈드 크림을 구매해주셔서 감사드립니다 고객님.말씀해주신 스패출러는 크림 단상자를 열어보시면 함께 구성되어 있습니다.혹시라도 단상자 개봉 시 스패출러가 확인되지 않으신다면,닥터자르트 고객만족센터로 연락 부탁드립니다. 감사합니다.닥터자르트 고객만족센터 채팅상담: pf.kakao.com/_UTxfuE상담시간: 평일 9시 - 18시(주말/공휴일 제외)",긍정
닥터자르트,화장품,제품관련,세안후 스킨 로션 바르고 이거 바름 돼죠?," 더메이크업 리쥬비네이팅 뷰티밤에 대한 관심 감사합니다.사용방법으로는 스킨케어 이후 메이크업 단계에서 콩알 크기 만큼 덜어얼굴 전체에 고르게 펴 발라 사용해주시면 되며, 고민 부위는 한번 더 덧발라서 피부를 매끄럽게 표현해주시기 바랍니다. 앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,행사,리뷰에 샘플이 있던데 샘플이 있는 상품인가요??," 닥터자르트 네이버 공식 스토어를 이용해주셔서 감사드립니다.현재 2023 홀리데이 기획전 (12.04~12.10)이 진행중이며,상품 구매 시 샘플지 4종을 2개씩 증정해드리고 있습니다.또한, 프로모션 기간 내 일부 제품 구매 시 특별 사은품도 제공되고 있으니,아래 기획전에서 상세 내용을 확인해주시기 바랍니다.^^https://brand.naver.com/drjart/shoppingstory/detail?id=5000879648&page=1앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,이제품 단종예정인가요? 올리브영 공식홈페이지에도 없고 면세도 다 품절이길래요??," 리쥬비네이팅 뷰티밤에 대한 관심과 이용 감사드립니다.닥터자르트 제품 중 일부 제품의 경우특정 판매처를 통해서만 만나보실 수 있도록 운영되고 있으며,리쥬비네이팅 뷰티밤은 닥터자르트 공식 온라인 스토어에서 지속 판매될 예정입니다. 앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,지방산 게면활성제 성분 들어갔나요?, 포어레미디 리뉴잉 폼 클렌저에는 아미노산계 계면활성제와 보습 성분이 함유되어 자극 걱정 없이 순하고 꼼꼼한 클렌징이 가능합니다.약알칼리성 클렌저로 고밀도의 단단한 버블을 형성하여 피부의 노폐물과 피지를 딥 클렌징 하도록 도와주어 만족도가 높은 제품입니다.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.,긍정
닥터자르트,화장품,제품관련,안녕하세요. 닥터자르트 블랙라벨을 예전에 너무만족하며 썻던기억이 있어서 찾는데 앖더라구요. 혹시 그 예전 블랙라벨고ㅏ 비슷한 느낌일까요? 커버나 마무리감 촉촉함 등에서요," 닥터자르트 블랙비비 '너리싱 뷰티밤'을 만족스럽게 이용해주셔서 감사드립니다.해당 제품은 단종되었으며, 대체하여 이용하실 제품으로 유사한 색상의 옐로우 베이지인 '베리어 뷰티밤 02호 미디엄'을 추천드립니다.""베리어 뷰티 밤""은 피부 장벽 강화를 도와주는 비타민 B 콤플렉스와 보습 성분을 머금은 크림 제형이 뭉침없이 촉촉하게 밀착되어, 가볍고 산뜻한 사용감으로 만족도가 높습니다. 또한 메이크업 롱래스팅(지속성) 테스트에서 24시간 메이크업 지속성이 입증된 만큼겉보속촉의 메이크업을 오랫동안 유지해 줍니다. 앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,"크림 미스트라고 되어 있는데 그냥 특화된(?) 미스트인지 아니면 정확한 유형(?)이 있는지 그게 무엇인지(토너, 세럼, 크림 등)..
또 어느단계에서 발라야는 건지 자세한 설명이 없어 확인이 필요한것 같습니다.."," 세라마이딘 크림 미스트는 #보습크림미스트로세라마이드 Complex™ 크림층과, 즉각적인 수분 보충을 해주는 천연 보습성분 수분층인 2층상 제형이건조해진 피부를 즉각적으로 촉촉하게 케어주고, 수분이 날아가지 않도록 꽉 잡아주는 보습 긴급 충전 미스트입니다사용 방법은 크림 미스트의 두 층이 잘 섞이도록 가볍게 흔들어 준 뒤눈을 감고 얼굴 전체에 고르게 분사하여 손으로 톡톡 두드려 흡수시켜주세요.세안 후 첫 단계에 스킨 대신 크림 미스트를 얼굴 전체에 고르게 사용해주시면,크림 미스트가 프라이머 역할을 해주어 다음 단계의 제품을 부드럽고 밀착력 있게 바를 수 있도록 도와줍니다.또한 피부가 건조할 때면 언제든 수시로 이용 가능합니다.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,행사,할인 끝난건가요 또 예정없나요?, 시카페어 페이셜 카밍 미스트 더블 구성은 아쉽게도 할인 이벤트가 종료되었으며 추가 할인 예정이 없습니다.감사합니다.,긍정
닥터자르트,화장품,제품관련,"안녕하세요
세라마이딘 오일 밤을 구매하려고 공홈, 올리브영, 그리고 여기 네이버 안에서 검색해도 오일밤이 없어요 ㅠㅠ 혹시 단종인가요?? 제발 아니라고 해주세요","""세라마이딘 오일 밤""을 만족스럽게 이용해 주셔서 감사드립니다.문의주신 제품은 아쉽게도 단종되었습니다.""세라마이딘 오일 밤""을 만족스럽게 사용하셨다면, 문의 남겨주신 ""세라마이딘 엑토인 인퓨즈드 크림"" 또는 ""세라마이딘 스킨 베리어 모이스처라이징 크림""을 추천드립니다.""세라마이딘 엑토인 인퓨즈드 크림""은5-세라 콤플렉스와 수분자석 엑토인 성분 함유로 벨벳처럼 도톰하게 마무리되며,건조함으로 인한 각질, 피부 당김, 거칠어짐 등 극건조 증상 케어까지 도와줄 강력한 보습 크림이며,""세라마이딘 스킨 베리어 모이스처라이징 크림""은5-세라 콤플렉스와 판테놀 성분으로 폭신하지만 끈적임 없이 빠르게 흡수되어 뛰어난 보습과 동시에,피부 탄력과 탄탄한 장벽 강화에 도움이 되는 크림입니다.오늘도 건강하고 행복한 하루 보내세요.^^감사합니다.",긍정
닥터자르트,화장품,제품관련,"부디 기존 리뉴얼 전 제품처럼 튜브용기도 생산해 주시길 부탁드립니다. 이 제품은 예민한 피부 타입인 분들이 주로 사용하실텐데, 위생적인 튜브용기를 굳이 왜 오염되기 쉬운 병 타입으로 리뉴얼했는지 너무나 아쉽습니다. 용량이 적어지고 가격이 오른 것은 어쩔 수 없는 부분이지만 용기만이라도 예전처럼 바꿔주셨으면 좋겠어요..","시카페어 인텐시브 수딩 리페어 젤 크림을 이용해주셔서 감사드리며,또한 애정 어린 제안 주셔서 진심으로 감사드립니다 고객님 😊말씀해주신 ‘시카페어 인텐시브 수딩 리페어 젤 크림 튜브 용기’ 출시에 대한 고객님의 소중한 의견은담당부서로 전달하여 제품 운영에 꼭 참고하도록 하겠습니다.앞으로도 많은 관심과 이용 부탁드립니다😊감사합니다.",긍정
닥터자르트,화장품,제품관련,"튜브형으로 구매가능할까요???
샘플처럼 튜브형으로 본품도 만들어주세요~!
위생적이고 훨씬 사용하기 수월할것 같아요ㅡ"," 바이탈 하이드라 솔루션 하이드로 플럼프 워터 크림에 대한 관심과 이용에 감사드립니다.아쉽게도, 워터크림의 경우 튜브 용기로 출시 계획은 없지만,고객님의 소중한 의견은 유관부서에 전달하여 제품 운영에 참고하겠습니다.^^자타입 용기의 사용이 많이 불편하시다면, 펌프타입의 화장품 공병을 구매하여 덜어서 이용하시는 방법도 추천드리겠습니다.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,닥터자르트 세라마이딘 크림 기존 상품 팔던거 단종되었을까요? 아니면 성분이 달라져서 이제품으로 바뀌었나요?,"'세라마이딘 크림' 제품에 대한 관심 감사드립니다. 문의하신 제품은 ""세라마이딘 스킨 베리어 모이스처라이징 크림""으로 리뉴얼 되었습니다. 기존 '세라마이딘 크림' 대비 2배 늘어난 '5-세라 콤플렉스'에 판테놀 성분이 더해져 더욱 뛰어난 보습 효과와 동시에 탄력케어에 도움을 주며, 약해진 피부 장벽을 더욱 촉촉하고 탄탄하게 가꿔주는데 도움을 줍니다. 새로워진 ""세라마이딘 스킨 베리어 모이스처라징 크림""에도 많은 관심과 사랑 부탁드립니다.오늘도 건강하고 행복한 하루 보내세요. 감사합니다.",긍정
닥터자르트,화장품,제품관련,세라마이드 성분 포함인가요?," ""시카페어 인텐시브 수딩 리페어 크림""에는 세라마이딘 성분은 포함되어 있지 않습니다.해당 제품은 민감 피부의 진정 케어와 동시에 흡수력이 높은 보습크림으로,기존보다 더욱 강력해진 '시카 2 콤플렉스'에 피부 진정과 피부 장벽을 보호하는 'R-프로텍터'와 '알란토인' 성분이 더해져 예민해진 피부 본연의 힘을 강하게 케어해주는 #민감진정퀵보습 크림입니다.피부에 밀착되어 끈적임 없이 빠르게 흡수되는 진정 보습 크림을 원하신다면,""시카페어 인텐시브 수딩 리페어 크림""으로 편안한 보습 케어를 시작해보세요.앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,행사,1+1은 언제까지하나요?그리고 유통기한도알려주세요!," 세라마이딘 핸드크림에 대한 관심 감사드립니다.1+1 프모로션을 위해 준비된 재고 소진 시 종료 예정이오니,구매를 원하신다면 서둘러주세요 고객님^^닥터자르트에서 별도의 유통기한을 표기하여 안내해드리지 않는 경우, 24개월 이내 제조되어 최소 사용기한 12개월 이상 남은 넉넉한 제품으로 발송해드리고 있습니니다.  모든 제품은 닥터자르트 전용 물류센터에서 화장품 최적의 보관상태로 안전하게 관리하고 있어, 제조 당시의 품질 그대로 사용하실 수 있는 제품이오니 안심하시고 이용해주시기 바랍니다. 앞으로도 닥터자르트에 많은 관심과 이용 부탁 드립니다. 감사합니다.",긍정
닥터자르트,화장품,제품관련,시카페어 슬리페어 앰플 인 마스크는 단종인가요??,"""시카페어 슬리페어 앰플 인 마스크""는 단종되었으며,문의 남겨주신 상품 ""시카페어 슬리페어 인텐시브 수딩 리페어 마스크""로 새롭게 리뉴얼 되어 운영중입니다.업그레이드 된 시카 콤플렉스와 새롭게 더해진 R-프로텍터, 알란토인 성분을 고밀도의 수분 젤 제형에 담아,자는 동안 집중적인 진정과 장벽 강화 효과는 물론피부 수분과 광채, 결까지 케어해주는 멀티 케어 수면 마스크로 업그레이드 되었습니다.""시카페어 슬리페어 인텐시브 수딩 리페어 마스크""도 많은 사랑 부탁드립니다.감사합니다.",긍정
